"DATA","CASA","PROMOÇÃO/OBJETIVO","UTMs / PIDs","LUCRO/PREJUIZO","ROAS","ENTREGUES","LIDAS","CUSTO","CONV","CONV ftd","C.REG","C.FTD","REGISTROS","FTD","CPAS","CPA ","REG > FTD","FTD > CPA"
"13/07","SuperBet","[13/07] DISP TOTAL 13/07 BASE BETE D5","pilhado-disp-bete-d5-sb","R$ -168,35","0,00","1.295,00","539,00","R$ 168,35","0,23%","0,15%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"14/07","SuperBet","[13/06] DISP TOTAL 14/07 BASE JUN/JULHO SEMIFINAL 01","pilhado-disp-total-semifinal-01","R$ 11.711,28","1,39","229.144,00","55.877,00","R$ 29.788,72","0,18%","0,06%","R$ 74,10","R$ 205,44","402,00","145,00","83,00","R$ 41.500,00","36,07%","57,24%"
"14/07","MGMBET","[13/07] DISP TOTAL 14/07 BASE SB D3","13398","R$ 658,71","6,43","933,00","202,00","R$ 121,29","1,50%","0,75%","R$ 8,66","R$ 17,33","14,00","7,00","3,00","R$ 780,00","50,00%","42,86%"
"14/07","MGMBET","[13/07] DISP TOTAL 14/07 BASE MGM D3","13538","R$ -98,54","0,00","758,00","122,00","R$ 98,54","1,45%","0,79%","R$ 8,96","R$ 16,42","11,00","6,00","0,00","R$ 0,00","54,55%","0,00%"
"14/07","SuperBet","	[13/07] DISP TOTAL 14/07 BASE MGM D5","pilhado-disp-traf-mgm-d5-sb","R$ 856,74","6,98","1.102,00","186,00","R$ 143,26","0,27%","0,27%","R$ 47,75","R$ 47,75","3,00","3,00","2,00","R$ 1.000,00","100,00%","66,67%"
"14/07","SuperBet"," [13/07] DISP TOTAL 14/07 BASE BETE D5","pilhado-disp-bete-d5-sb","R$ -26,52","0,00","204,00","26,00","R$ 26,52","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"14/07","SuperBet"," [13/07] DISP TOTAL 14/07 BASE VDB D5","pilhado-disp-traf-vaidebet-d5-sb","R$ -144,04","0,00","1.108,00","188,00","R$ 144,04","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"14/07","MGMBET"," [13/07] DISP TOTAL 14/07 BASE SB D7","13422","R$ -148,07","0,00","1.139,00","167,00","R$ 148,07","0,35%","0,09%","R$ 37,02","R$ 148,07","4,00","1,00","0,00","R$ 0,00","25,00%","0,00%"
"14/07","MGMBET","[13/07] DISP TOTAL 14/07 BASE MGM D7","13542","R$ -149,37","0,00","1.149,00","136,00","R$ 149,37","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"15/07","SuperBet","[14/07] DISP TOTAL 15/07 BASE JUNHO/JULHO SEMIFINAL 02","pilhado-disp-total-semifinal-02","R$ -13.933,94","0,58","253.338,00","119.321,00","R$ 32.933,94","0,07%","0,03%","R$ 185,02","R$ 491,55","178,00","67,00","38,00","R$ 19.000,00","37,64%","56,72%"
