DATA,CASA,UTM/PID,PROMOÇÃO/OBJETIVO,LUCRO/PREJUIZO,ROAS,ENTREGUES,LIDAS,CLIQUES,TX LIDAS,TX CLIQUES,CUSTO,CONV,CONV ftd,C.REG,C.FTD,REGISTROS,FTD,CPAS,CPA 
22/06,SuperBet,pilhado-disp-traf-mgm-d3,[21/06] D3 22/06 BASE MGM,"R$ 5.831,78","35,67","1.294,00","838,00",,"64,76%","0,00%","R$ 168,22","2,63%","1,39%","R$ 4,95","R$ 9,35","34,00","18,00","12,00",
22/06,SuperBet,pilhado-disp-traf-esp-d3,[21/06] D3 22/06 BASE ESP,"R$ 6.903,17","12,57","4.591,00","3.029,00",,"65,98%","0,00%","R$ 596,83","1,31%","0,48%","R$ 9,95","R$ 27,13","60,00","22,00","15,00",
22/06,SuperBet,pilhado-disp-traf-sb-d5,[21/06] D5 22/06 BASE SB,"-R$ 112,19","0,00","863,00","528,00",,"61,18%","0,00%","R$ 112,19","0,12%","0,00%","R$ 112,19",,"1,00","0,00","0,00",
22/06,SuperBet,pilhado-disp-traf-mgm-d7,[21/06] D7 22/06 BASE MGM,"R$ 615,07","2,60","2.961,00","1.645,00",,"55,56%","0,00%","R$ 384,93","0,34%","0,17%","R$ 38,49","R$ 76,99","10,00","5,00","2,00",
23/06,SuperBet,pilhado-disp-traf-king-d1,[22/06] D1 23/06 BASE KING,"R$ 2.506,78","6,08","3.794,00","2.474,00",,"65,21%","0,00%","R$ 493,22","1,42%","0,53%","R$ 9,13","R$ 24,66","54,00","20,00","6,00",
23/06,SuperBet,pilhado-disp-traf-mgm-d1,[22/06] D1 23/06 BASE MGM,"R$ 6.816,18","38,08","1.414,00","1.026,00",2515,"72,56%","177,86%","R$ 183,82","3,25%","1,56%","R$ 4,00","R$ 8,36","46,00","22,00","14,00",
23/06,SuperBet,pilhado-disp-traf-sb-d5,[22/06] D5 23/06 BASE SB,"R$ 1.920,83","25,26","609,00","387,00",,"63,55%","0,00%","R$ 79,17","1,31%","0,82%","R$ 9,90","R$ 15,83","8,00","5,00","4,00",
23/06,SuperBet,pilhado-disp-traf-mgm-d7,[22/06] D7 23/06 BASE MGM,"R$ 2.142,76","7,00","2.748,00","1.566,00",,"56,99%","0,00%","R$ 357,24","0,40%","0,22%","R$ 32,48","R$ 59,54","11,00","6,00","5,00",
23/06,SuperBet,pilhado-disp-traf-esp-d7,[22/06] D7 23/06 BASE ESP,"-R$ 141,57","0,00","1.089,00","644,00",,"59,14%","0,00%","R$ 141,57","0,37%","0,18%","R$ 35,39","R$ 70,79","4,00","2,00","0,00",
23/06,SuperBet,pilhado-disp-traf-bete-d7,[22/06] D7 23/06 BASE BETE,"R$ 891,97","9,26","831,00","494,00",,"59,45%","0,00%","R$ 108,03","0,60%","0,48%","R$ 21,61","R$ 27,01","5,00","4,00","2,00",
